5.99609482069236e-001	2.49072449270817e-002
8.00125463068928e-001	1.37637733865704e-001
9.98157049244255e-001	2.79489670489899e-001
1.20004182102298e+000	3.36260465852287e-001
1.40113538425891e+000	3.73997044270944e-001
1.59888213535883e+000	5.08996662795396e-001
1.59773488297178e+000	4.81397048226986e-001
1.79967503934850e+000	7.17278016553213e-001
1.80067196211241e+000	6.52372241013425e-001
1.80162141236376e+000	5.86324412457013e-001
1.99936816346368e+000	4.54657364314799e-001
2.19990788071966e+000	3.90181101983955e-001
2.39820847779954e+000	3.60726894591242e-001
2.59700753626137e+000	3.43264243873079e-001
2.79947780236176e+000	3.25231470884939e-001
2.99818982788388e+000	3.05675056302965e-001
3.20079459943655e+000	2.90878100195259e-001
3.39981519629036e+000	2.78745030221341e-001
3.59893073816931e+000	2.68896066280670e-001
3.79810957673169e+000	2.60569839695498e-001
3.99735171197748e+000	2.53766350465824e-001
4.20033626363069e+000	2.48105818491109e-001
4.39970499224333e+000	2.44347803972432e-001
4.59909745711226e+000	2.41160815962067e-001
4.80217695379060e+000	2.37784390020600e-001
5.00156150657410e+000	2.34407059840798e-001
5.20090649893046e+000	2.30078018813809e-001
5.40025940337224e+000	2.25939319956257e-001
5.59969934075374e+000	2.23894384962516e-001
5.79917092647695e+000	2.22610818646525e-001
5.99878492973786e+000	2.24753411380405e-001
6.19852552636561e+000	2.29941478825281e-001
6.40204018774248e+000	2.37033872202866e-001
6.60169375143053e+000	2.40128175783932e-001
6.80088841416376e+000	2.32182633537635e-001
7.00010681315328e+000	2.24808117799649e-001
7.19995817897702e+000	2.32660975616648e-001
7.39996778650933e+000	2.44320676822393e-001
7.59942354806168e+000	2.42656426167527e-001
7.79847579325721e+000	2.31284724871358e-001
8.00082737807618e+000	2.10396819341658e-001
8.19924665643747e+000	1.83797744490504e-001
8.40120263698504e+000	1.53392730488939e-001
8.59961400326091e+000	1.26603313468347e-001
8.79795416076792e+000	9.81008169228204e-002
9.00006047093863e+000	7.13123041405639e-002
9.19926304575728e+000	6.35571040637036e-002
9.39878210399306e+000	6.34155907643357e-002
9.59835654682683e+000	6.46064726510290e-002
9.79789142923346e+000	6.48456436905357e-002
9.99737092704209e+000	6.37524195439813e-002
1.01968425127653e+001	6.24688532279896e-002
1.04001910203482e+001	6.55640610473906e-002
1.05999790894885e+001	7.18941815088912e-002
1.07998621036540e+001	8.05084080036396e-002
1.09998163265883e+001	9.08357140233237e-002
1.11997230770100e+001	1.00020967026384e-001
1.13996219153463e+001	1.09015877860007e-001
1.15994653690847e+001	1.16678393507569e-001
1.17993483832501e+001	1.25292620002317e-001
1.20031557917878e+001	1.39427673649082e-001
1.21998264992695e+001	1.59651868241172e-001
1.23994642387867e+001	1.62365487483363e-001
1.26012303292840e+001	1.27392261415303e-001
1.27993885088262e+001	9.45118949727174e-002
1.29983537210820e+001	8.10464298127379e-002
1.31976037684133e+001	7.44332827525015e-002
1.33968379915736e+001	6.74394513533905e-002
1.36032326520463e+001	5.49275055172667e-002
1.38019051171413e+001	3.44193800881067e-002
1.33089188982986e-001	1.76190839500521e-003
3.32829785610742e-001	6.94997583988200e-003
4.66132600900282e-001	1.38348465196714e-002
1.38681213600875e+001	2.73929961089494e-002
1.39674575926350e+001	1.71389333943694e-002
1.41001195290049e+001	8.60608834973678e-003
1.42329238829124e+001	3.49940235497571e-003
